Year,Month,State,Gross Statutory Allocation,Deduction,Exchange Gain,EMTL,Net Share of Ecology,VAT,Total Allocation
2022,October,ZAMFARA,1819172205,0,246866214.6,48565194.77,0,61981152.6,1094238134
2022,October,FCT-ABUJA,803472481.8,0,109033223.8,54441548.43,0,27375171.16,2061018920
2022,April,ABIA,1942003383,0,58260101.48,29130050.74,1315861323,3286994757,
2022,April,ADAMAWA,2449558544,0,73486756.33,0,1492139504,4015184805,
2022,April,AKWA IBOM,3262668038,0,97880041.15,48940020.57,2226465633,5538073692,
2022,April,ANAMBRA,2462796218,0,73883886.55,,1667307399,4203987504,
2022,April,BAUCHI,2795761065,0,83872831.94,,1723279161,4602913057,
2022,April,BAYELSA,1137977087,0,34139312.62,17069656.31,772589858.7,1927636603,
2022,April,BORNO,3302940037,0,99088201.11,,1959992476,5362020714,
2022,April,DELTA,2728394372,0,81851831.16,40925915.58,1922441403,4691761690,
2022,April,EDO,2087590985,0,62627729.55,31313864.77,1453193943,3572098793,
2022,April,EKITI,1657622947,0,49728688.41,,1136902833,2844254469,
2022,April,ENUGU,2121023477,0,63630704.31,,1386035674,3570689856,
2022,April,IMO,2842643277,0,85279298.3,42639649.15,1868609175,4753892101,
2022,April,JIGAWA,2986464406,0,89593932.18,,1978316387,5054374725,
2022,April,KADUNA,3358562013,0,100756860.4,,2062023944,5521342818,
2022,April,KATSINA,4070852385,0,122125571.6,,2497587938,6690565894,
2022,April,KEBBI,2569144817,0,77074344.5,38537172.25,1490946705,4098628694,
2022,April,KWARA,1878973183,0,56369195.48,28184597.74,1200140336,3107298117,
2022,April,LAGOS,3200823654,0,96024709.63,,8797132395,12093980759,
2022,April,NIGER,3102827725,0,93084831.75,46542415.87,1867911487,5017281628,
2022,April,PLATEAU,2264346770,0,67930403.09,33965201.54,1352303147,3650615118,
2022,April,RIVERS,2806783349,0,84203500.48,42101750.24,3896368718,6745253818,
2022,April,TARABA,2118744966,0,63562348.99,,1113328000,3295635315,
2022,April,YOBE,2130212382,0,63906371.47,,1170913841,3365032595,
2022,April,ZAMFARA,1924789288,0,57743678.65,,1161310933,3143843900,
2022,April,FCT-ABUJA,850120303,0,25503609.09,,3122962082,3998585994,
2023,April,ABIA,1919305241,0,110072843.7,57579157.24,28789578.62,1223580205,3281747868
2023,April,AKWA IBOM,3224533964,0,157567440.8,96736018.93,48368009.47,2112463910,5542933325
2023,April,ANAMBRA,2434011049,0,158934165,73020331.46,73020331.46,1773599574,4439565119
2023,April,BAUCHI,2763084201,0,125740059.1,82892526.03,82892526.03,1663124780,4634841566
2023,April,BAYELSA,1124676408,0,51997373.7,33740292.23,16870146.12,1025837023,2219380950
2023,April,BORNO,3264335264,0,146881888.6,97930057.92,97930057.92,1952941856,5462089067
2023,April,DELTA,2696504890,0,174582732.2,80895146.71,40447573.35,2195696870,5107232066
2023,April,EDO,2063191215,0,135189651.3,61895736.45,30947868.23,1502878017,3732206751
2023,April,EKITI,1638248645,0,87262017.52,49147459.35,49147459.35,1173676799,2948334921
2023,April,ENUGU,2096232948,0,114298634.5,62886988.44,62886988.44,1344940716,3618359287
2023,April,IMO,2809418453,0,152260083.6,84282553.6,42141276.8,1849772286,4853592100
2023,April,JIGAWA,2951558601,0,141541241.2,88546758.03,88546758.03,2016968429,5198615029
2023,April,KADUNA,3319307130,0,171495120.9,99579213.9,99579213.9,2178138964,5768520428
2023,April,KATSINA,4023272250,0,187282877.9,120698167.5,120698167.5,2466924428,6798177724
2023,April,KEBBI,2539116644,0,112567285,76173499.33,38086749.67,1500381796,4190152475
2023,April,KWARA,1857011738,0,96079017.84,55710352.15,27855176.08,1197540279,3178486212
2023,April,LAGOS,3163412418,0,433483594.3,94902372.53,94902372.53,8487268645,12179067029
2023,April,NIGER,3066561865,0,141739327.3,91996855.95,45998427.98,1926073916,5180373537
2023,April,PLATEAU,2237881078,0,105965270.5,67136432.33,33568216.17,1309438457,3686853022
2023,April,RIVERS,2773977657,0,174184259.8,83219329.71,41609664.86,4118623294,7108394875
2023,April,TARABA,2093981069,0,85353713.16,62819432.06,62819432.06,1097622711,3339776925
2023,April,YOBE,2105314454,0,88254368.97,63159433.61,63159433.61,1210659797,3467388053
2023,April,ZAMFARA,1902292345,0,87195388.69,57068770.36,57068770.36,1137483991,3184040496
2023,April,FCT-ABUJA,840184094.3,0,94070558.37,25205522.83,25205522.83,1984385174,2943845350
2022,August,ABIA,2994710182,0,89841305.46,44920652.73,1095222860,4134853695,
2022,August,AKWA IBOM,5031270945,0,150938128.4,75469064.18,1906030367,7012770376,
2022,August,ANAMBRA,3797810538,0,113934316.1,0,1518138797,5429883651,
2022,August,BAUCHI,4311266500,0,129337995,0,1452270331,5892874826,
2022,August,BAYELSA,1754843272,0,52645298.17,26322649.08,733590551.4,2514756473,
2022,August,BORNO,5093373291,0,152801198.7,0,1681892148,6928066637,
2022,August,DELTA,4207382170,0,126221465.1,63110732.55,1710565918,5981058820,
2022,August,EDO,3219216833,0,96576504.98,48288252.49,1320570939,4588076024,
2022,August,EKITI,2556174908,0,76685247.24,0,995685795.8,3628545951,
2022,August,ENUGU,3270772162,0,98123164.86,0,1204285230,4573180557,
2022,August,IMO,4383562274,0,131506868.2,65753434.11,1624508908,6073824616,
2022,August,JIGAWA,4605344895,0,138160346.9,0,1719726006,6463231249,
2022,August,KADUNA,5179146415,0,155374392.5,0,1804550045,7139070853,
2022,August,KATSINA,6277549873,0,188326496.2,0,2156701724,8622578093,
2022,August,KEBBI,3961807796,0,118854233.9,59427116.95,1310318151,5331553064,
2022,August,KWARA,2897513038,0,86925391.15,43462695.58,1015564329,3956540063,
2022,August,LAGOS,4935902416,0,148077072.5,0,8197522166,13281501654,
